question_code	question_title	choice1	choice2	choice3	choice4	correct	state	correct_rate	picture	year	round	subject	"question_code	question_title	choice1	choice2	choice3	choice4	correct	state	correct_rate	picture	year	round	subject"																
QA20182031	4x2 RAM을 이용하여 16x4 메모리를 구성하고자 할 경우에 필요한 4x2 RAM의 수는?	4개	8개	16개	32개	2	정상	0		2018	2	A	"QA20182031	4x2 RAM을 이용하여 16x4 메모리를 구성하고자 할 경우에 필요한 4x2 RAM의 수는?	4개	8개	16개	32개	2	정상	0		2018	2	A"																
QA20182032	"캐시의 라인 교체 정책 가운데, 최근에 가장 적게 사용된 라인부터 교체하는 정책은? (문제 오류로 실제 시험에서는 1, 3번이 정답처리 되었습니다. 여기서는 1번을 누르면 정답 처리 됩니다.)"	LRU	FIFO	LFU	LIFO	1	"오류(1,3)"	0		2018	2	A	"QA20182032	""캐시의 라인 교체 정책 가운데"	 최근에 가장 적게 사용된 라인부터 교체하는 정책은? (문제 오류로 실제 시험에서는 1	" 3번이 정답처리 되었습니다. 여기서는 1번을 누르면 정답 처리 됩니다.)""	LRU	FIFO	LFU	LIFO	1	""오류(1"	"3)""	0		2018	2	A"													
QA20182033	"10진수 ?14를 2의 보수 표현법을 이용하여 8비트 레지스터에 저장하였을 때, 이를 오른쪽으로 1비트 산술 시프트했을 때의 결과는?"	10000111	111	11111001	1111001	3	정상	0		2018	2	A	"QA20182033	""10진수 ?14를 2의 보수 표현법을 이용하여 8비트 레지스터에 저장하였을 때"	" 이를 오른쪽으로 1비트 산술 시프트했을 때의 결과는?""	10000111	00000111	11111001	01111001	3	정상	0		2018	2	A"															
QA20182034	다음은 DMA의 데이터 전송 절차를 나열한 것이다. 순서를 가장 옳게 나열한 것은?	ⓐ → ⓑ → ⓒ → ⓓ	ⓒ → ⓑ → ⓓ → ⓐ	ⓑ → ⓓ → ⓐ → ⓒ	ⓓ → ⓒ → ⓑ → ⓐ	3	정상	0	c:/test/QA20182034.png	2018	2	A	"QA20182034	다음은 DMA의 데이터 전송 절차를 나열한 것이다. 순서를 가장 옳게 나열한 것은?	ⓐ → ⓑ → ⓒ → ⓓ	ⓒ → ⓑ → ⓓ → ⓐ	ⓑ → ⓓ → ⓐ → ⓒ	ⓓ → ⓒ → ⓑ → ⓐ	3	정상	0	c:/test/QA20182034.png	2018	2	A"																
QA20182035	병렬컴퓨터에서 처리요소의 성능을 측정하는데 사용되는 단위는?	MIPS	BPS	IPS	LPM	1	정상	0		2018	2	A	"QA20182035	병렬컴퓨터에서 처리요소의 성능을 측정하는데 사용되는 단위는?	MIPS	BPS	IPS	LPM	1	정상	0		2018	2	A"																
QA20182036	다음 중 누산기에 대한 설명으로 가장 옳은 것은?	연산장치에 있는 레지스터의 하나로서 연산 결과를 기억하는 장치이다.	입출력장치에 있는 회로로서 가감승제 계산 및 논리 연산을 행하는 장치이다.	일정한 입력 숫자들을 더하여 그 누계만을 항상 보관하는 장치이다.	부동소수점과 같은 정밀 계산을 위해 특별히 만들어 두어 유효 숫자의 개수를 늘리기 위한 것이다.	1	정상	0		2018	2	A	"QA20182036	다음 중 누산기에 대한 설명으로 가장 옳은 것은?	연산장치에 있는 레지스터의 하나로서 연산 결과를 기억하는 장치이다.	입출력장치에 있는 회로로서 가감승제 계산 및 논리 연산을 행하는 장치이다.	일정한 입력 숫자들을 더하여 그 누계만을 항상 보관하는 장치이다.	부동소수점과 같은 정밀 계산을 위해 특별히 만들어 두어 유효 숫자의 개수를 늘리기 위한 것이다.	1	정상	0		2018	2	A"																
QA20182037	다음 중 비교적 속도가 빠른 자기디스크에 연결하는 채널은?	바이트 채널	셀렉터 채널	서브 채널	멀티플렉서 채널	2	정상	0		2018	2	A	"QA20182037	다음 중 비교적 속도가 빠른 자기디스크에 연결하는 채널은?	바이트 채널	셀렉터 채널	서브 채널	멀티플렉서 채널	2	정상	0		2018	2	A"																
QA20182038	ASCⅡ 코드의 비트구성은 존(zone)비트와 수(digit)비트로 구분된다. 존(zone)비트는 몇 비트인가?	1비트	2비트	3비트	4비트	3	정상	0		2018	2	A	"QA20182038	ASCⅡ 코드의 비트구성은 존(zone)비트와 수(digit)비트로 구분된다. 존(zone)비트는 몇 비트인가?	1비트	2비트	3비트	4비트	3	정상	0		2018	2	A"																
QA20182039	프로그램에 의해 제어되는 동작이 아닌 것은?	input/output	branch	status sense	RNI(fetch)	4	정상	0		2018	2	A	"QA20182039	프로그램에 의해 제어되는 동작이 아닌 것은?	input/output	branch	status sense	RNI(fetch)	4	정상	0		2018	2	A"																
QA20182040	다음 중 프로그램 카운터(PC)에 대한 설명으로 가장 옳은 것은?	곱셈과 나눗셈 명령어를 위한 누산기로 사용된다.	다음에 인출할 명령어의 메모리 주소를 가지고 있다.	고속 메모리 전송명령을 위해 사용된다.	CPU의 동작을 제어하는 플래그를 가지고 있다.	2	정상	0		2018	2	A	"QA20182040	다음 중 프로그램 카운터(PC)에 대한 설명으로 가장 옳은 것은?	곱셈과 나눗셈 명령어를 위한 누산기로 사용된다.	다음에 인출할 명령어의 메모리 주소를 가지고 있다.	고속 메모리 전송명령을 위해 사용된다.	CPU의 동작을 제어하는 플래그를 가지고 있다.	2	정상	0		2018	2	A"																
QC20182081	맨체스터(Manchester) 코딩 방식에 대한 설명으로 옳은 것은?	"이진신호 0의 경우, 비트구간의 시작지점에 존재"	"이진신호 0의 경우, 비트구간의 오른쪽 1/2지점에 존재"	"이진신호 1의 경우, 이전 비트구간의 역상"	"이진신호 0의 경우, 비트구간의 왼쪽 3/4지점에 존재"	2	정상	0		2018	2	C	"QC20182081	맨체스터(Manchester) 코딩 방식에 대한 설명으로 옳은 것은?	""이진신호 0의 경우"	" 비트구간의 시작지점에 존재""	""이진신호 0의 경우"	" 비트구간의 오른쪽 1/2지점에 존재""	""이진신호 1의 경우"	" 이전 비트구간의 역상""	""이진신호 0의 경우"	" 비트구간의 왼쪽 3/4지점에 존재""	2	정상	0		2018	2	C"												
QC20182082	HDLC(High-level Data Link Control)의 링크 구성 방식에 따른 세 가지 동작모드에 해당하지 않은 것은?	PAM	NRM	ARM	ABM	1	정상	0		2018	2	C	"QC20182082	HDLC(High-level Data Link Control)의 링크 구성 방식에 따른 세 가지 동작모드에 해당하지 않은 것은?	PAM	NRM	ARM	ABM	1	정상	0		2018	2	C"																
QC20182083	변조속도가 1500[baud]이며 트리비트를 사용하는 경우 전송속도(bps)는?	2400	3200	4500	6000	3	정상	0		2018	2	C	"QC20182083	변조속도가 1500[baud]이며 트리비트를 사용하는 경우 전송속도(bps)는?	2400	3200	4500	6000	3	정상	0		2018	2	C"																
QC20182084	Go-Back-N ARQ에서 7번째 프레임까지 전송하였는데 수신측에서 6번째 프레임에 오류가 있다고 재전송을 요청해 왔다. 재전송되는 프레임의 개수는?	1	2	3	4	2	정상	0		2018	2	C	"QC20182084	Go-Back-N ARQ에서 7번째 프레임까지 전송하였는데 수신측에서 6번째 프레임에 오류가 있다고 재전송을 요청해 왔다. 재전송되는 프레임의 개수는?	1	2	3	4	2	정상	0		2018	2	C"																
QC20182085	IPv6에 대한 설명으로 틀린 것은?	더 많은 IP주소를 지원할 수 있도록 주소의 크기는 64비트이다.	프로토콜의 확장을 허용하도록 설계되었다.	"확장 헤더로 이동성을 지원하고, 보안 및 서비스 품질 기능 등이 개선되었다."	"유니캐스트, 멀티캐스트, 애니캐스트를 지원한다."	1	정상	0		2018	2	C	"QC20182085	IPv6에 대한 설명으로 틀린 것은?	더 많은 IP주소를 지원할 수 있도록 주소의 크기는 64비트이다.	프로토콜의 확장을 허용하도록 설계되었다.	""확장 헤더로 이동성을 지원하고"	" 보안 및 서비스 품질 기능 등이 개선되었다.""	""유니캐스트"	 멀티캐스트	" 애니캐스트를 지원한다.""	1	정상	0		2018	2	C"													
QC20182086	패킷교환망에 접속되는 단말기 중 비패킷형 단말기(Non-Packet Mode Terminal)에서 패킷의 조립·분해 기능을 제공해 주는 일종의 어댑터는?	GFI	PTI	SVC	PAD	4	정상	0		2018	2	C	"QC20182086	패킷교환망에 접속되는 단말기 중 비패킷형 단말기(Non-Packet Mode Terminal)에서 패킷의 조립·분해 기능을 제공해 주는 일종의 어댑터는?	GFI	PTI	SVC	PAD	4	정상	0		2018	2	C"																
QC20182087	부정적 응답에 해당하는 전송제어 문자는?	NAK(Negative AcKnowledge)	ACK(ACKnowledge)	EOT(End of Transmission)	SOH(Start of Heading)	1	정상	0		2018	2	C	"QC20182087	부정적 응답에 해당하는 전송제어 문자는?	NAK(Negative AcKnowledge)	ACK(ACKnowledge)	EOT(End of Transmission)	SOH(Start of Heading)	1	정상	0		2018	2	C"																
QC20182088	LAN의 방식 중 “10Base-T”의 10 이 의미하는 것은?	케이블의 굵기가 10㎜이다.	데이터 전송 속도가 10Mbps이다.	접속할 수 있는 단말의 수가 10대이다.	배선할 수 있는 케이블의 길이가 10m이다.	2	정상	0		2018	2	C	"QC20182088	LAN의 방식 중 “10Base-T”의 10 이 의미하는 것은?	케이블의 굵기가 10㎜이다.	데이터 전송 속도가 10Mbps이다.	접속할 수 있는 단말의 수가 10대이다.	배선할 수 있는 케이블의 길이가 10m이다.	2	정상	0		2018	2	C"																
QC20182089	IP(Internet Protocol) 프로토콜에 대한 설명으로 틀린 것은?	비연결 프로토콜이다.	최선의 노력(Best Effort) 원칙에 따른 전송 기능을 제공한다.	IP 패킷이 다른 경로를 통해 전달될 수 있기 때문에 송신된 순서와 다르게 목적지에 도착할 수 있다.	"IP 패킷에서 헤더 체크섬은 제공하지 않고, 데이터 체크섬만을 제공한다."	4	정상	0		2018	2	C	"QC20182089	IP(Internet Protocol) 프로토콜에 대한 설명으로 틀린 것은?	비연결 프로토콜이다.	최선의 노력(Best Effort) 원칙에 따른 전송 기능을 제공한다.	IP 패킷이 다른 경로를 통해 전달될 수 있기 때문에 송신된 순서와 다르게 목적지에 도착할 수 있다.	""IP 패킷에서 헤더 체크섬은 제공하지 않고"	" 데이터 체크섬만을 제공한다.""	4	정상	0		2018	2	C"															
QC20182090	통신 프로토콜의 기본적인 요소가 아닌 것은?	인터페이스	구문	의미	타이밍	1	정상	0		2018	2	C	"QC20182090	통신 프로토콜의 기본적인 요소가 아닌 것은?	인터페이스	구문	의미	타이밍	1	정상	0		2018	2	C"																
QC20182091	라우팅 프로토콜인 OSPF(Open Shortest Path First)에 대한 설명으로 옳지 않은 것은?	네트워크 변화에 신속하게 대처할 수 있다.	최단 경로 탐색에 Dijkstra 알고리즘을 사용한다.	멀티캐스팅을 지원한다.	거리 벡터 라우팅 프로토콜이라고도 한다.	4	정상	0		2018	2	C	"QC20182091	라우팅 프로토콜인 OSPF(Open Shortest Path First)에 대한 설명으로 옳지 않은 것은?	네트워크 변화에 신속하게 대처할 수 있다.	최단 경로 탐색에 Dijkstra 알고리즘을 사용한다.	멀티캐스팅을 지원한다.	거리 벡터 라우팅 프로토콜이라고도 한다.	4	정상	0		2018	2	C"																
QC20182092	데이터 전달을 위한 회선 제어 절차의 단계를 순서대로 나열한 것은?	데이터 링크 확립 → 회선 연결 → 데이터 전송 → 데이터 링크 해제 → 회선 절단	회선 연결 → 데이터 링크 확립 → 데이터 전송 → 데이터 링크 해제 → 회선 절단	데이터 링크 확립 → 회선 연결 → 데이터 전송 → 회선 절단 → 데이터 링크 해제	데이터 전송 → 회선 절단 → 회선 연결 → 데이터 링크 확립 → 데이터 링크 해제	2	정상	0		2018	2	C	"QC20182092	데이터 전달을 위한 회선 제어 절차의 단계를 순서대로 나열한 것은?	데이터 링크 확립 → 회선 연결 → 데이터 전송 → 데이터 링크 해제 → 회선 절단	회선 연결 → 데이터 링크 확립 → 데이터 전송 → 데이터 링크 해제 → 회선 절단	데이터 링크 확립 → 회선 연결 → 데이터 전송 → 회선 절단 → 데이터 링크 해제	데이터 전송 → 회선 절단 → 회선 연결 → 데이터 링크 확립 → 데이터 링크 해제	2	정상	0		2018	2	C"																
QC20182093	실제 전송할 데이터를 갖고 있는 터미널에게만 시간슬롯(Time Slot)을 할당하는 다중화 방식은?	디벨로프 다중화	주파수 분할 다중화	통계적 시분할 다중화	광파장 분할 다중화	3	정상	0		2018	2	C	"QC20182093	실제 전송할 데이터를 갖고 있는 터미널에게만 시간슬롯(Time Slot)을 할당하는 다중화 방식은?	디벨로프 다중화	주파수 분할 다중화	통계적 시분할 다중화	광파장 분할 다중화	3	정상	0		2018	2	C"																
QC20182094	QPSK 변조방식의 대역폭 효율은 몇 [bps/Hz]인가?	2	4	8	16	1	정상	0		2018	2	C	"QC20182094	QPSK 변조방식의 대역폭 효율은 몇 [bps/Hz]인가?	2	4	8	16	1	정상	0		2018	2	C"																
QC20182095	TCP/IP 프로토콜에서 TCP가 해당하는 계층은?	데이터 링크 계층	네트워크 계층	트랜스포트 계층	세션 계층	3	정상	0		2018	2	C	"QC20182095	TCP/IP 프로토콜에서 TCP가 해당하는 계층은?	데이터 링크 계층	네트워크 계층	트랜스포트 계층	세션 계층	3	정상	0		2018	2	C"																
QC20182096	RIP(Routing Information Protocol)에 대한 설명으로 틀린 것은?	거리 벡터 라우팅 프로토콜이라고도 한다.	최대 홉 카운트를 115홉 이하로 한정하고 있다.	최단경로탐색에는 Bellman-Ford 알고리즘을 사용한다.	소규모 네트워크 환경에 적합하다.	2	정상	0		2018	2	C	"QC20182096	RIP(Routing Information Protocol)에 대한 설명으로 틀린 것은?	거리 벡터 라우팅 프로토콜이라고도 한다.	최대 홉 카운트를 115홉 이하로 한정하고 있다.	최단경로탐색에는 Bellman-Ford 알고리즘을 사용한다.	소규모 네트워크 환경에 적합하다.	2	정상	0		2018	2	C"																
QC20182097	OSI 참조모돌에서 전이중방식이나 반이중방식으로 종단 시스템의 응용 간 대화(dialog)를 관리하는 계층은?	Data Link Layer	Network Layer	Transport Layer	Session Layer	4	정상	0		2018	2	C	"QC20182097	OSI 참조모돌에서 전이중방식이나 반이중방식으로 종단 시스템의 응용 간 대화(dialog)를 관리하는 계층은?	Data Link Layer	Network Layer	Transport Layer	Session Layer	4	정상	0		2018	2	C"																
QC20182098	채널용량이 100Kbps이고 채널 대역폭이 10kHz일 때 신호대잡음비(db)는?	124	423	1023	4056	3	정상	0		2018	2	C	"QC20182098	채널용량이 100Kbps이고 채널 대역폭이 10kHz일 때 신호대잡음비(db)는?	124	423	1023	4056	3	정상	0		2018	2	C"																
QC20182099	IEEE 802.3 LAN에서 사용되는 전송매체 접속제어(MAC) 방식은?	CSMA/CD	Token Bus	Token Ring	Slotted Ring	1	정상	0		2018	2	C	"QC20182099	IEEE 802.3 LAN에서 사용되는 전송매체 접속제어(MAC) 방식은?	CSMA/CD	Token Bus	Token Ring	Slotted Ring	1	정상	0		2018	2	C"																
QC20182100	패킷교환 방식에 대한 설명으로 틀린 것은?	패킷길이가 제한된다.	전송 데이터가 많은 통신환경에 적합하다.	노드나 회선의 오류 발생 시 다른 경로를 선택할 수 없어 전송이 중단된다.	저장-전달 방식을 사용한다.	3	정상	0		2018	2	C	"QC20182100	패킷교환 방식에 대한 설명으로 틀린 것은?	패킷길이가 제한된다.	전송 데이터가 많은 통신환경에 적합하다.	노드나 회선의 오류 발생 시 다른 경로를 선택할 수 없어 전송이 중단된다.	저장-전달 방식을 사용한다.	3	정상	0		2018	2	C"																
QD20182001	릴레이션에 포함되어 있는 튜플의 수는?	Cardinality	Schema	Type	Degree	1	정상	0	c:/test/QD20182001.png	2018	2	D	"QD20182001	릴레이션에 포함되어 있는 튜플의 수는?	Cardinality	Schema	Type	Degree	1	정상	0	c:/test/QD20182001.png	2018	2	D"																
QD20182002	다음 자료를 버블 정렬을 이용하여 오름차순으로 정렬할 경우 PASS 2의 수행 결과는?	"3, 5, 6, 7, 9"	"6, 7, 3, 5, 9"	"3, 5, 9, 6, 7"	"6, 3, 5, 7, 9"	4	정상	10	c:/test/QD20182002.png	2018	2	D	"QD20182002	다음 자료를 버블 정렬을 이용하여 오름차순으로 정렬할 경우 PASS 2의 수행 결과는?	""3"	5	6	7	" 9""	""6"	7	3	5	" 9""	""3"	5	9	6	" 7""	""6"	3	5	7	" 9""	4	정상	10	c:/test/QD20182002.png	2018	2	D"
QD20182003	"릴레이션의 R의 차수가 4이고 카디널리티가 5이며, 릴레이션의 S의 차수가 6이고 카디널리티가 7일 때, 두 개의 릴레이션을 카티션 프로덕트한 결과의 새로운 릴레이션의 차수와 카디널리티는 얼마인가?"	"24, 35"	"24, 12"	"10, 35"	"10, 12"	3	정상	0		2018	2	D	"QD20182003	""릴레이션의 R의 차수가 4이고 카디널리티가 5이며"	 릴레이션의 S의 차수가 6이고 카디널리티가 7일 때	" 두 개의 릴레이션을 카티션 프로덕트한 결과의 새로운 릴레이션의 차수와 카디널리티는 얼마인가?""	""24"	" 35""	""24"	" 12""	""10"	" 35""	""10"	" 12""	3	정상	0		2018	2	D"										
QD20182004	What are general configuration of indexed sequential file?	"Index area, Mark area, Overflow area"	"Index area, Prime area, Overflow area"	"Index area, Mark area, Excess area"	"Index area, Prime area, Mark area"	2	정상	0		2018	2	D	"QD20182004	What are general configuration of indexed sequential file?	""Index area"	 Mark area	" Overflow area""	""Index area"	 Prime area	" Overflow area""	""Index area"	 Mark area	" Excess area""	""Index area"	 Prime area	" Mark area""	2	정상	0		2018	2	D"								
QD20182005	데이터베이스 설계 시 물리적 설계 단계에서 수행하는 사항이 아닌 것은?	저장 레코드 양식 설계	레코드 집중의 분석 및 설계	접근 경로 설계	목표 DBMS에 맞는 스키마 설계	4	정상	0		2018	2	D	"QD20182005	데이터베이스 설계 시 물리적 설계 단계에서 수행하는 사항이 아닌 것은?	저장 레코드 양식 설계	레코드 집중의 분석 및 설계	접근 경로 설계	목표 DBMS에 맞는 스키마 설계	4	정상	0		2018	2	D"																
QD20182006	다음 그림에서 트리의 차수(degree)는?	1	2	3	4	2	정상	0	c:/test/QD20182006.png	2018	2	D	"QD20182006	다음 그림에서 트리의 차수(degree)는?	1	2	3	4	2	정상	0	c:/test/QD20182006.png	2018	2	D"																
QD20182007	릴레이션에서 기본키를 구성하는 속성은 널(Null)값이나 중복 값을 가질 수 없다는 것을 의미하는 제약조건은?	참조 무결성	보안 무결성	개체 무결성	정보 무결성	3	정상	0		2018	2	D	"QD20182007	릴레이션에서 기본키를 구성하는 속성은 널(Null)값이나 중복 값을 가질 수 없다는 것을 의미하는 제약조건은?	참조 무결성	보안 무결성	개체 무결성	정보 무결성	3	정상	0		2018	2	D"																
QD20182008	다음은 관계형 데이터베이스의 키(Key)를 설명하고 있다. 해당되는 키는?	후보키	대체키	슈퍼키	외래키	3	정상	0	c:/test/QD20182008.png	2018	2	D	"QD20182008	다음은 관계형 데이터베이스의 키(Key)를 설명하고 있다. 해당되는 키는?	후보키	대체키	슈퍼키	외래키	3	정상	0	c:/test/QD20182008.png	2018	2	D"																
QD20182009	"“회사원”이라는 테이블에서 “사원명”을 검색할 때, “연락번호”가 Null 값이 아닌 “사원명”을 모두 찾을 경우의 SQL 질의로 옳은 것은?"	SELECT 사원명 FROM 회사원 WHERE 연락번호 !＝NULL;	SELECT 사원명 FROM 회사원 WHERE 연락번호＜＞＝NULL;	SELECT 사원명 FROM 회사원 WHERE 연락번호 IS NOT NULL;	SELECT 사원명 FROM 회사원 WHERE 연락번호 DON'T NULL;	3	정상	0		2018	2	D	"QD20182009	""“회사원”이라는 테이블에서 “사원명”을 검색할 때"	" “연락번호”가 Null 값이 아닌 “사원명”을 모두 찾을 경우의 SQL 질의로 옳은 것은?""	SELECT 사원명 FROM 회사원 WHERE 연락번호 !＝NULL;	SELECT 사원명 FROM 회사원 WHERE 연락번호＜＞＝NULL;	SELECT 사원명 FROM 회사원 WHERE 연락번호 IS NOT NULL;	SELECT 사원명 FROM 회사원 WHERE 연락번호 DON'T NULL;	3	정상	0		2018	2	D"															
QD20182010	다음 SQL문의 실행결과를 가장 옳게 설명한 것은?	인사 테이블을 제거한다.	인사 테이블을 참조하는 테이블과 인사테이블을 제거한다.	인사 테이블이 참조중이면 제거하지 않는다.	인사 테이블을 제거할 지의 여부를 사용자에게 다시 질의한다.	2	정상	0	c:/test/QD20182010.png	2018	2	D	"QD20182010	다음 SQL문의 실행결과를 가장 옳게 설명한 것은?	인사 테이블을 제거한다.	인사 테이블을 참조하는 테이블과 인사테이블을 제거한다.	인사 테이블이 참조중이면 제거하지 않는다.	인사 테이블을 제거할 지의 여부를 사용자에게 다시 질의한다.	2	정상	0	c:/test/QD20182010.png	2018	2	D"																
QD20182011	병행제어의 목적으로 옳지 않은 것은?	시스템 활용도를 최대화	데이터베이스 공유도 최대화	사용자에 대한 응답시간 최대화	데이터베이스의 일관성 유지	3	정상	0		2018	2	D	"QD20182011	병행제어의 목적으로 옳지 않은 것은?	시스템 활용도를 최대화	데이터베이스 공유도 최대화	사용자에 대한 응답시간 최대화	데이터베이스의 일관성 유지	3	정상	0		2018	2	D"																
QD20182012	로킹 단위가 큰 경우에 대한 설명으로 옳은 것은?	"로킹 오버헤드 증가, 데이터베이스 공유도 저하"	"로킹 오버헤드 감소, 데이터베이스 공유도 저하"	"로킹 오버헤드 감소, 데이터베이스 공유도 증가"	"로킹 오버헤드 증가, 데이터베이스 공유도 증가"	2	정상	0		2018	2	D	"QD20182012	로킹 단위가 큰 경우에 대한 설명으로 옳은 것은?	""로킹 오버헤드 증가"	" 데이터베이스 공유도 저하""	""로킹 오버헤드 감소"	" 데이터베이스 공유도 저하""	""로킹 오버헤드 감소"	" 데이터베이스 공유도 증가""	""로킹 오버헤드 증가"	" 데이터베이스 공유도 증가""	2	정상	0		2018	2	D"												
QD20182013	SQL 구문에서 “having” 절은 반드시 어떤 구문과 사용되어야 하는가?	GROUP BY 	ORDER BY	UPDATE	JOIN	1	정상	0		2018	2	D	"QD20182013	SQL 구문에서 “having” 절은 반드시 어떤 구문과 사용되어야 하는가?	GROUP BY 	ORDER BY	UPDATE	JOIN	1	정상	0		2018	2	D"																
QD20182014	데이터의 중복으로 인하여 관계연산을 처리할 때 예기치 못한 곤란한 현상이 발생하는 것을 무엇이라 하는가?	이상(Anomaly)	제한(Restriction)	종속성(Dependency)	변환(Translation)	1	정상	0		2018	2	D	"QD20182014	데이터의 중복으로 인하여 관계연산을 처리할 때 예기치 못한 곤란한 현상이 발생하는 것을 무엇이라 하는가?	이상(Anomaly)	제한(Restriction)	종속성(Dependency)	변환(Translation)	1	정상	0		2018	2	D"																
